"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-55-6987-01","False","False","2.04","1.78","0.52","1.30","1.24","1.79","True","2.04","-3.90","-0.15","-0.11","-0.11"
"TCGA-95-7039-01","False","False","2.00","-0.10","0.36","0.04","0.65","0.08","False","-0.38","2.00","0.11","0.05","0.02"
"TCGA-50-5946-01","False","False","1.98","-0.88","0.27","-1.00","-1.09","-0.09","False","-1.98","1.98","0.22","-0.09","0.05"
"TCGA-50-5045-01","False","False","1.97","0.93","0.72","0.89","0.91","1.17","True","1.97","0.29","-0.09","0.12","-0.00"
"TCGA-44-6778-01","False","False","1.96","1.92","0.54","1.60","1.81","1.52","True","1.96","-3.01","-0.14","-0.09","-0.05"
"TCGA-55-A48Y-01","False","False","1.93","-0.64","0.23","-0.69","-1.21","-0.96","False","-1.51","1.93","0.04","0.13","0.02"
"TCGA-99-8032-01","True","False","1.92","-1.58","0.23","-0.86","-1.17","-0.84","False","0.14","1.92","0.07","0.09","0.03"
"TCGA-55-6981-01","True","False","1.89","-1.42","0.15","-1.07","-0.05","-2.01","False","-0.23","1.89","0.08","0.05","0.05"
"TCGA-50-5936-01","False","False","1.89","-0.92","0.60","-0.49","-0.80","-1.09","False","-1.07","1.89","0.06","0.11","-0.00"
"TCGA-78-7155-01","False","False","1.88","0.01","0.47","-0.60","-0.84","0.04","False","-2.93","1.88","0.15","-0.06","0.07"
"TCGA-05-4420-01","True","False","1.87","-2.16","0.51","-1.58","-1.90","-0.65","False","-1.85","1.87","0.14","-0.01","0.05"
"TCGA-99-8025-01","False","False","1.85","-0.94","0.23","-0.83","-0.68","-1.40","False","-0.12","1.85","0.09","0.05","0.04"
"TCGA-50-5944-01","False","False","1.83","-0.77","0.31","-0.60","-0.95","-1.06","False","-0.35","1.83","-0.07","0.20","0.05"
"TCGA-NJ-A4YQ-01","False","False","1.80","0.91","0.41","0.85","0.07","1.63","True","1.80","-3.11","-0.10","-0.16","-0.03"
"TCGA-44-2661-01","False","False","1.79","1.26","0.82","0.91","0.07","1.53","True","1.79","-2.73","-0.24","-0.02","0.01"
"TCGA-49-6743-01","False","False","1.79","0.21","0.39","0.26","0.82","-0.00","False","-0.96","1.79","0.08","0.11","-0.03"
"TCGA-05-4390-01","True","False","1.78","-1.32","0.54","-1.22","-0.69","-0.41","False","-1.11","1.78","0.10","0.04","0.03"
"TCGA-05-4405-01","True","False","1.77","-1.06","0.31","-0.47","0.29","-0.07","False","0.58","1.77","-0.04","0.18","0.02"
"TCGA-44-7667-01","False","False","1.77","-0.40","0.43","-0.88","-1.22","-1.30","False","-1.58","1.77","0.17","-0.05","0.04"
"TCGA-50-5933-01","False","False","1.76","1.09","0.70","0.61","2.82","-0.25","False","-0.74","1.76","0.02","0.21","-0.06"
"TCGA-J2-8192-01","False","False","1.73","0.25","0.53","0.38","0.69","-0.16","False","0.87","1.73","-0.10","0.30","-0.02"
"TCGA-44-3396-01","False","False","1.73","0.91","0.63","0.77","1.50","1.00","True","1.73","0.69","0.00","0.13","-0.07"
"TCGA-91-6831-01","False","False","1.71","0.74","0.47","0.21","-0.12","0.54","False","-1.13","1.71","0.12","0.07","-0.02"
"TCGA-MP-A4TD-01","True","False","1.71","-1.74","0.19","-0.81","-1.53","-0.96","False","1.82","1.71","-0.01","0.12","0.05"
